Date,POC,PM2.5,AQI_VALUE,COUNTY,LATITUDE,LONGITUDE
1/21/2020,4,10.6,44,Dallas,32.820061,-96.860117
1/22/2020,4,5.4,23,Dallas,32.820061,-96.860117
1/23/2020,4,-0.1,0,Dallas,32.820061,-96.860117
1/24/2020,4,3.3,14,Dallas,32.820061,-96.860117
1/25/2020,4,5.1,21,Dallas,32.820061,-96.860117
1/26/2020,4,3.7,15,Dallas,32.820061,-96.860117
1/27/2020,4,10.1,42,Dallas,32.820061,-96.860117
1/28/2020,4,5.7,24,Dallas,32.820061,-96.860117
1/29/2020,4,1.9,8,Dallas,32.820061,-96.860117
1/30/2020,4,5.2,22,Dallas,32.820061,-96.860117
1/31/2020,4,5.6,23,Dallas,32.820061,-96.860117
2/1/2020,4,8,33,Dallas,32.820061,-96.860117
2/2/2020,4,3,13,Dallas,32.820061,-96.860117
2/3/2020,4,4.6,19,Dallas,32.820061,-96.860117
2/4/2020,4,4,17,Dallas,32.820061,-96.860117
2/5/2020,4,0.6,3,Dallas,32.820061,-96.860117
2/6/2020,4,4.3,18,Dallas,32.820061,-96.860117
2/7/2020,4,4.6,19,Dallas,32.820061,-96.860117
2/8/2020,4,6.7,28,Dallas,32.820061,-96.860117
2/9/2020,4,3.6,15,Dallas,32.820061,-96.860117
2/10/2020,4,1.6,7,Dallas,32.820061,-96.860117
2/11/2020,4,5.9,25,Dallas,32.820061,-96.860117
2/12/2020,4,0.1,0,Dallas,32.820061,-96.860117
2/13/2020,4,3.8,16,Dallas,32.820061,-96.860117
2/14/2020,4,5.6,23,Dallas,32.820061,-96.860117
2/15/2020,4,7.4,31,Dallas,32.820061,-96.860117
2/16/2020,4,6.6,28,Dallas,32.820061,-96.860117
2/17/2020,4,6.9,29,Dallas,32.820061,-96.860117
2/18/2020,4,4.1,17,Dallas,32.820061,-96.860117
2/19/2020,4,5.1,21,Dallas,32.820061,-96.860117
2/20/2020,4,4.1,17,Dallas,32.820061,-96.860117
2/21/2020,4,6.7,28,Dallas,32.820061,-96.860117
2/22/2020,4,6.8,28,Dallas,32.820061,-96.860117
2/23/2020,4,6.1,25,Dallas,32.820061,-96.860117
2/24/2020,4,2.1,9,Dallas,32.820061,-96.860117
2/27/2020,4,4.6,19,Dallas,32.820061,-96.860117
